termKey,canonical,aliases,tier,df,domains,topN出处,sampleEvidence,decision,note
必要技术特征,必要技术特征,,seed,12,4,examination-guideline:02-02-03-01；examination-guideline:02-08-04-02；examination-guideline:02-08-06；examination-guideline:02-08-06-01；examination-guideline:02-09-05,可以思考哪些是解决技术问题的必要技术特征，以此形成的集合就是完整的技术方案,,
独立权利要求,独立权利要求,主权,seed,24,6,examination-guideline:01-02-07；examination-guideline:01-04-03；examination-guideline:02-02-03-01；examination-guideline:02-02-03-03；examination-guideline:02-06-02-02,在先独立权利要求不得引用在后独立权利要求,,
从属权利要求,从属权利要求,从权,seed,20,6,examination-guideline:01-02-07；examination-guideline:02-02-03-01；examination-guideline:02-02-03-03；examination-guideline:02-06-02-02；examination-guideline:02-07-03,从属权利要求撰写应当包括引用部分和限定部分，且引用的主题名称与独权一致,,
功能性特征,功能性特征,功能或者效果特征,seed,4,2,examination-guideline:01-02-07；examination-guideline:02-02-03-03；infringement-guide:infr-01-03；infringement-guide:infr-02-02；infringement-guide:infr-02-03,功能性特征，是指对于结构、组分、材料、步骤、条件或其之间的关系等,,
马库什权利要求,马库什权利要求,,seed,2,1,examination-guideline:02-06-02-02；examination-guideline:02-10-08；examination-guideline:02-10-08-01,后一种情况经常出现在马库什权利要求中,,
用途权利要求,用途权利要求,,seed,2,2,examination-guideline:02-10-04；examination-guideline:02-10-04-05；chemistry-drafting-rules:chem-01-03-01,既可以采用“用途权利要求”来保护,,
瑞士型权利要求,瑞士型权利要求,制备用途权利要求；制药方法类型的用途权利要求,seed,2,2,examination-guideline:02-10-04；examination-guideline:02-10-04-05；chemistry-drafting-rules:chem-01-05-06,应改写为“制备用途”权利要求,,
新颖性,新颖性,,seed,21,6,examination-guideline:01-02-11；examination-guideline:02-03；examination-guideline:02-03-01；examination-guideline:02-03-02；examination-guideline:02-08-04-04,选出重要的、对申请的新颖性和创造性起作用的技术特征,,
现有技术,现有技术,,seed,22,7,examination-guideline:01-02-11；examination-guideline:01-04-02；examination-guideline:01-04-03；examination-guideline:01-04-04-01；examination-guideline:02-02-02-01,禁止出现“现有技术”、“传统技术”等字眼,,
抵触申请,抵触申请,,seed,19,3,examination-guideline:01-02-11；examination-guideline:01-02-15；examination-guideline:01-03-08；examination-guideline:02-03-02；examination-guideline:02-03-02-02,有关现有技术或者抵触申请的信息,,
单独对比,单独对比,,seed,2,1,examination-guideline:02-03-03；examination-guideline:02-03-03-01；examination-guideline:04-05-05,判断发明或者实用新型专利申请的新颖性适用单独对比的原则,,
上位下位概念,上位下位概念,上下位概念；上位概念与下位概念,seed,2,3,examination-guideline:02-03-03-02；chemistry-drafting-rules:chem-01-03-01；mechanical-drafting-rules:mech-01-02-01,同一权利要求中，避免上下位概念并列,,
惯用手段直接置换,惯用手段直接置换,惯用手段的直接置换,seed,3,2,examination-guideline:02-03-03；examination-guideline:02-03-03-02；oa-response-guide:oa-01-02；oa-response-guide:oa-01-04,所属技术领域的惯用手段的直接置换,,
数值范围,数值范围,端点值；上下限,seed,1,3,examination-guideline:02-03-03-02；examination-guideline:02-08-05-02；infringement-guide:infr-02-03；chemistry-drafting-rules:chem-01-03-01；chemistry-drafting-rules:chem-01-04-04,数值范围的两个端值在原说明书和/或权利要求书中已确实记载,,
制法限定的产品权要,制法限定的产品权要,用制备方法表征的化学产品权利要求,seed,1,1,examination-guideline:02-03-03-02；examination-guideline:02-10-05,对于用制备方法表征的化学产品权利要求，其新颖性审查应针对该产品本身进行,,
创造性,创造性,发明的创造性,seed,19,5,examination-guideline:01-02-11；examination-guideline:02-03-01；examination-guideline:02-04；examination-guideline:02-04-02；examination-guideline:02-08-04-04,选出重要的、对申请的新颖性和创造性起作用的技术特征,,
三步法,三步法,,seed,1,2,examination-guideline:02-04-03-02；oa-response-guide:oa-02-03,通常可按照“三步法”进行答复,,
最接近的现有技术,最接近的现有技术,,seed,10,3,examination-guideline:02-02-03-03；examination-guideline:02-04-03；examination-guideline:02-04-03-02；examination-guideline:02-08-05-02；examination-guideline:02-09-06-02,在合适的情况下，选用一份与发明或者实用新型要求保护的主题最接近的现有技术文件进行,,
区别特征,区别特征,,seed,3,2,examination-guideline:02-04-03；examination-guideline:02-04-03-02；examination-guideline:02-10-09-04；oa-response-guide:oa-02-08,要求保护的发明与最接近的现有技术相比有哪些区别特征,,
实际解决的技术问题,实际解决的技术问题,发明实际解决的技术问题,seed,5,2,examination-guideline:02-04-03；examination-guideline:02-04-03-02；examination-guideline:02-10-09-04；oa-response-guide:oa-02-03；oa-response-guide:oa-02-04,确定发明实际解决的技术问题的依据包括,,
技术启示,技术启示,,seed,10,3,examination-guideline:02-04-03；examination-guideline:02-04-03-02；examination-guideline:02-09-06-02；examination-guideline:02-10-06；examination-guideline:02-10-09-04,现有技术整体上是否存在某种技术启示,,
所属技术领域的技术人员,所属技术领域的技术人员,本领域的技术人员；本领域技术人员；所述领域的技术人员；本领域普通技术人员,seed,12,5,examination-guideline:02-02-02-01；examination-guideline:02-04-02；examination-guideline:02-04-02-04；examination-guideline:02-07-10；examination-guideline:02-08-05-02,所属技术领域的技术人员,,
公知常识,公知常识,,seed,10,2,examination-guideline:02-04-03；examination-guideline:02-04-03-02；examination-guideline:02-07-03；examination-guideline:02-08-04-10；examination-guideline:04-02-03,所述区别特征为公知常识,,
事后诸葛亮,事后诸葛亮,,seed,3,2,examination-guideline:02-04-06；examination-guideline:02-04-06-02；oa-response-guide:oa-02-06；oa-response-guide:oa-02-07,避免“事后诸葛亮”,,
预料不到的技术效果,预料不到的技术效果,意想不到的效果,seed,8,3,examination-guideline:02-04-04；examination-guideline:02-04-05；examination-guideline:02-04-05-03；examination-guideline:02-04-06；examination-guideline:02-04-06-03,而选出的方案未能取得预料不到的技术效果,,
技术偏见,技术偏见,,seed,4,2,examination-guideline:02-02-02-01；examination-guideline:02-04-05；examination-guideline:02-04-05-02；examination-guideline:02-04-06；oa-response-guide:oa-07-01,对于克服了技术偏见的发明或者实用新型,,
商业成功,商业成功,发明在商业上获得成功,seed,1,1,examination-guideline:02-04-05；examination-guideline:02-04-05-04,当发明的产品在商业上获得成功时，如果这种成功是由于发明的技术特征直接导致的,,
开拓性发明,开拓性发明,,seed,2,1,examination-guideline:02-02-03-02；examination-guideline:02-04-04；examination-guideline:02-04-04-01,开拓性发明可以比改进性发明有更宽的概括范围,,
选择发明,选择发明,,seed,1,1,examination-guideline:02-04-04；examination-guideline:02-04-04-03,是指从现有技术公开的宽范围中，有目的地选出现有技术中未提到的窄范围或者个体的发明,,
转用发明,转用发明,,seed,1,1,examination-guideline:02-04-04；examination-guideline:02-04-04-04,是指将某一技术领域的现有技术转用到其他技术领域中的发明,,
已知产品新用途,已知产品新用途,已知产品的新用途发明,seed,1,1,examination-guideline:02-04-04；examination-guideline:02-04-04-05；examination-guideline:02-10-06-02,是指将已知产品用于新的目的的发明,,
实用性,实用性,个体行为；有生命人；动物对象,seed,15,3,examination-guideline:01-02-12；examination-guideline:02-03-01；examination-guideline:02-04-01；examination-guideline:02-05；examination-guideline:02-07-10,这样专利申请的化妆品将毫无用处，即无“实用性”,,
再现性,再现性,,seed,3,2,examination-guideline:02-05；examination-guideline:02-05-03-02；chemistry-drafting-rules:chem-01-05-02；chemistry-drafting-rules:chem-01-05-05,因此，这种方案的“再现性”较差，即无“实用性”,,
永动机,永动机,,seed,2,1,examination-guideline:02-05；examination-guideline:02-05-03-02；examination-guideline:04-02-04,违背能量守恒定律的发明或者实用新型专利申请的主题，例如永动机,,
单一性,单一性,多独权引用关系；总的发明构思,seed,21,5,examination-guideline:01-01-07；examination-guideline:01-02-09；examination-guideline:01-02-15；examination-guideline:02-06；examination-guideline:02-06-01,撰写多独权时，应在保证多独权符合单一性的同时,,
特定技术特征,特定技术特征,,seed,8,3,examination-guideline:01-02-09；examination-guideline:02-06-02-01；examination-guideline:02-06-02-02；examination-guideline:02-10-08；oa-response-guide:oa-03-02,确定特定技术特征时一般依据申请文件中所描述的背景技术,,
分案申请,分案申请,分案的申请,seed,22,3,examination-guideline:01-01-04-07；examination-guideline:01-01-05；examination-guideline:01-01-05-01；examination-guideline:01-02-10；examination-guideline:01-02-15,分案申请不适用专利法实施细则第四十五条的规定,,
检索,检索,,seed,0,1,examination-guideline:02-07,,,
实质审查程序,实质审查程序,,seed,0,1,examination-guideline:02-08,,,
优先权审查,优先权审查,,seed,0,1,examination-guideline:01-01-06-02；examination-guideline:02-03-04；examination-guideline:02-08-04-06,,,
答复期限,答复期限,,seed,1,1,examination-guideline:02-08-04-10；examination-guideline:02-08-04-11；examination-guideline:02-08-05-01,申请人可以请求专利局延长指定的答复期限,,
主动修改时机,主动修改时机,,seed,0,1,examination-guideline:02-08-05-02,,,
答复审查意见通知书时的修改,答复审查意见通知书时的修改,,seed,0,1,examination-guideline:02-08-05-02,,,
修改超范围,修改超范围,修改超出原图片或者照片表示的范围,seed,2,3,examination-guideline:01-01-07；examination-guideline:01-01-07-06；examination-guideline:01-03-10；examination-guideline:02-08-05-02；patent-law:law-03-08,对专利申请文件的修改不得超出原说明书和权利要求书记载的范围,,
允许的修改,允许的修改,,seed,0,1,examination-guideline:02-08-05-02,,,
不允许的修改,不允许的修改,,seed,0,1,examination-guideline:02-08-05-02,,,
数值范围放弃,数值范围放弃,,seed,0,1,examination-guideline:02-08-05-02,,,
依职权修改,依职权修改,,seed,5,1,examination-guideline:01-01-08；examination-guideline:01-02-08；examination-guideline:01-03-10；examination-guideline:02-08-04-13；examination-guideline:02-08-05-02,对于发明专利申请文件中文字和符号的明显错误，审查员可以在初步审查合格之前依职权进,,
驳回决定,驳回决定,,seed,10,2,examination-guideline:01-01-03-05；examination-guideline:01-02-03；examination-guideline:01-03-03；examination-guideline:02-08-02；examination-guideline:02-08-06,驳回决定正文包括案由、驳回的理由以及决定三个部分,,
十一种驳回情形,十一种驳回情形,,seed,0,1,examination-guideline:02-08-06-01,,,
听证原则,听证原则,,seed,6,1,examination-guideline:01-01-02；examination-guideline:01-02-02；examination-guideline:01-03-02；examination-guideline:02-08-02；examination-guideline:02-08-04-11,审查员在作出驳回决定之前，应当将驳回所依据的事实、理由和证据通知申请人,,
化学发明审查,化学发明审查,,seed,0,1,examination-guideline:02-10,,,
化合物新颖性,化合物新颖性,化合物的新颖性,seed,1,1,examination-guideline:02-10-05；examination-guideline:02-10-05-01,如果在一份对比文件中记载了化合物的化学名称、分子式（或者结构式）等结构信息,,
化合物创造性,化合物创造性,,seed,0,1,examination-guideline:02-10-06-01,,,
组合物,组合物,封闭式,seed,2,1,examination-guideline:02-10-03；examination-guideline:02-10-04；examination-guideline:02-10-04-02；examination-guideline:02-10-05-02,对于组合物发明，说明书中除了应当记载组合物的组分外,,
医药用途,医药用途,物质的医药用途,seed,1,1,examination-guideline:02-10-02；examination-guideline:02-10-02-02；examination-guideline:02-10-04-05,物质的医药用途如果是用于诊断或者治疗疾病,,
制药用途新颖性,制药用途新颖性,,seed,0,1,examination-guideline:02-10-05-04,,,
生物材料保藏,生物材料保藏,生物材料样品保藏；生物材料的保藏,seed,6,3,examination-guideline:01-01-05；examination-guideline:01-01-05-02；examination-guideline:02-10-09-02；examination-guideline:03-01-05-05；examination-guideline:03-01-05-12,将该生物材料样品提交至国家知识产权局认可的生物材料样品国际保藏单位保藏,,
微生物,微生物,,seed,1,1,examination-guideline:02-10-09-01,微生物包括：细菌、放线菌、真菌、病毒、原生动物、藻类等,,
基因,基因,DNA 片段；基因或者DNA片段,seed,1,1,examination-guideline:02-10-09-01,无论是基因或是DNA片段，其实质是一种化学物质,,
转基因动植物,转基因动植物,转基因动物和植物,seed,1,1,examination-guideline:02-10-09-01,转基因动物或者植物是通过基因工程的重组DNA技术等生物学方法得到的动物或者植物,,
中药发明审查,中药发明审查,,seed,0,1,examination-guideline:02-11,,,
中药组合物,中药组合物,中药组方；中药复方,seed,1,1,examination-guideline:02-11-02；examination-guideline:02-11-03-01；examination-guideline:02-11-05-01,中药组合物，也称中药组方或者中药复方,,
不丧失新颖性宽限期,不丧失新颖性宽限期,不丧失新颖性的公开；宽限期；优惠期；新颖性宽限期,seed,7,3,examination-guideline:01-01-06-03；examination-guideline:01-02-04；examination-guideline:02-03-05；examination-guideline:03-01-05-04；examination-guideline:06-02-06-03,应当在得知情况后两个月内提出要求不丧失新颖性宽限期的声明,,
同样的发明创造,同样的发明创造,比较对象,seed,11,4,examination-guideline:01-02-13；examination-guideline:01-03-11；examination-guideline:02-03-06；examination-guideline:02-07-07；examination-guideline:02-08-04-07,同样的发明创造只能授予一项专利权,,
一案两请,一案两请,同日两请,seed,0,1,examination-guideline:02-03-06-02,,,
优先权,优先权,在先申请优先权,seed,18,5,examination-guideline:01-01-04-07；examination-guideline:01-01-06-02；examination-guideline:01-03-05-02；examination-guideline:02-03-04；examination-guideline:02-07-04,要求本国优先权，并且写明在先申请号和申请日的,,
优先权恢复,优先权恢复,优先权要求的恢复；恢复优先权,seed,8,2,examination-guideline:01-01-06-02；examination-guideline:02-03-04；examination-guideline:02-08-03；examination-guideline:03-01-05-02；examination-guideline:03-02-05,还应当查对与优先权恢复、增加、改正等相关的文件,,
优先权要求增加改正,优先权要求增加改正,,seed,0,1,examination-guideline:01-01-06-02,,,
援引加入,援引加入,援引在先申请文件,seed,7,2,examination-guideline:01-01-04-07；examination-guideline:01-02-15；examination-guideline:02-08-03；examination-guideline:02-08-04-01；examination-guideline:03-01-05-03,援引加入的项目或者部分是原始提交的申请文件的一部分,,
实质审查请求,实质审查请求,,seed,5,3,examination-guideline:01-01-06-04；examination-guideline:03-01-05-09；implementation-rules:rule-05-02；implementation-rules:rule-09-02；patent-law:law-05-01,实质审查请求应当在自申请日（有优先权的，指优先权日）起三年内提出,,
提前公布声明,提前公布声明,,seed,1,1,examination-guideline:01-01-06-05,提前公布声明只适用于发明专利申请,,
撤回专利申请声明,撤回专利申请声明,,seed,2,1,examination-guideline:01-01-06-06；examination-guideline:01-02-04,申请人撤回专利申请的，应当提交撤回专利申请声明,,
著录项目变更,著录项目变更,著录事项变更手续,seed,6,2,examination-guideline:01-01-06-07；examination-guideline:01-02-04；examination-guideline:02-08-04-12；examination-guideline:02-08-06；examination-guideline:05-11-09,著录项目（即著录事项）包括：申请号、申请日、发明创造名称、分类号、优先权事项,,
专利权转让,专利权转让,,seed,0,1,examination-guideline:01-01-06-07,,,
辞去委托,辞去委托,,seed,2,1,examination-guideline:01-01-06-01；examination-guideline:01-01-06-07,专利代理机构接受申请人（或专利权人）委托后，可以辞去委托,,
委托代理机构,委托代理机构,委托专利代理机构,seed,2,1,examination-guideline:01-01-06-01；examination-guideline:01-02-04,应当委托专利代理机构办理,,
实用新型客体,实用新型客体,,seed,0,1,examination-guideline:01-02-06,,,
实用新型只保护产品,实用新型只保护产品,,seed,0,1,examination-guideline:01-02-06-01,,,
外观设计客体,外观设计客体,,seed,0,1,examination-guideline:01-03-07,,,
不授予外观设计的11种情形,不授予外观设计的 11 种情形,,seed,0,1,examination-guideline:01-03-07-04,,,
外观设计图片照片,外观设计图片照片,,seed,0,1,examination-guideline:01-03-04-02,,,
简要说明,简要说明,简要说明书,seed,11,2,examination-guideline:01-03-04-02；examination-guideline:01-03-04-03；examination-guideline:01-03-12；examination-guideline:04-05-03；examination-guideline:05-01-05,简要说明可以用于解释图片或者照片所表示的该产品的外观设计,,
局部外观设计,局部外观设计,,seed,5,2,examination-guideline:01-03-04-04；examination-guideline:01-03-12；examination-guideline:04-05-05；implementation-rules:rule-02-14；implementation-rules:rule-02-15,局部外观设计是指对产品的局部的形状、图案或者其结合以及色彩与形状、图案的结合,,
图形用户界面,图形用户界面,GUI,seed,2,1,examination-guideline:01-03-04-05；examination-guideline:01-03-07-04；examination-guideline:01-03-12；examination-guideline:04-05-06,涉及图形用户界面的产品外观设计的,,
动态图形用户界面,动态图形用户界面,,seed,1,1,examination-guideline:01-03-04-05,动态图形用户界面的产品名称要有,,
相似外观设计,相似外观设计,,seed,7,3,examination-guideline:01-03-04-02；examination-guideline:01-03-04-03；examination-guideline:01-03-09；examination-guideline:01-03-09-01；examination-guideline:04-03-05,对于同一产品的相似外观设计，应当在每个设计的视图名称前以阿拉伯数字顺序编号标注,,
成套产品,成套产品,同一类别并且成套出售或者使用的产品；成套产品外观设计,seed,5,3,examination-guideline:01-03-04-02；examination-guideline:01-03-04-03；examination-guideline:01-03-09；examination-guideline:01-03-09-02；implementation-rules:rule-02-24,对于成套产品，应当在其中每件产品的视图名称前以阿拉伯数字顺序编号标注,,
平面印刷品标识性设计,平面印刷品标识性设计,主要起标识作用的设计,seed,1,2,examination-guideline:01-03-06-02；patent-law:law-02-04,对平面印刷品的图案、色彩或者二者的结合作出的主要起标识作用的设计,,
外观设计相同,外观设计相同,实质相同；明显区别,seed,5,3,examination-guideline:01-03-08；examination-guideline:04-05-05；examination-guideline:04-05-06；patent-law:law-02-02；plant-variety-regulations-2025:pvpr-02-01,授予专利权的外观设计与现有设计或者现有设计特征的组合相比，应当具有明显区别,,
一般消费者,一般消费者,,seed,3,2,examination-guideline:04-05-02；examination-guideline:04-05-04；infringement-guide:infr-04,现有设计中一般消费者所熟知的,,
现有设计,现有设计,,seed,5,3,examination-guideline:01-03-08；examination-guideline:04-05-02；examination-guideline:04-07；infringement-guide:infr-06-05；patent-law:law-02-02,应当不属于现有设计,,
惯常设计,惯常设计,,seed,5,2,examination-guideline:04-05-02；examination-guideline:04-05-05；examination-guideline:04-05-06；infringement-guide:infr-04；infringement-guide:infr-06-05,只要提到产品名称就能想到的相应设计，称为惯常设计,,
外观设计转用,外观设计转用,组合；拼合；替换；转用,seed,2,1,examination-guideline:04-05-04；examination-guideline:04-05-06；examination-guideline:04-05-06-02,组合包括拼合和替换，是指将两项或者两项以上设计或者设计特征拼合成一项外观设计,,
在先合法权利冲突,在先合法权利冲突,相冲突,seed,1,1,examination-guideline:04-05-07,相冲突，是指未经权利人许可，外观设计专利使用了在先合法权利的客体,,
国际专利分类ipc,国际专利分类 IPC,国际专利分类；IPC；国际专利分类表,seed,2,1,examination-guideline:01-04；examination-guideline:01-04-01；examination-guideline:02-07-05,专利局采用国际专利分类对发明专利申请和实用新型专利申请进行分类,,
多重分类,多重分类,多方面分类,seed,1,1,examination-guideline:01-04-04-03,当专利申请涉及不同类型的技术主题，并且这些技术主题构成发明信息时,,
复审请求,复审请求,复审中的修改限制,seed,5,3,examination-guideline:01-01-03；examination-guideline:01-02-03；examination-guideline:01-03-03；examination-guideline:04-02；examination-guideline:04-02-02,对驳回决定不服的，可以在规定的期限内提出复审请求,,
复审三个月期限,复审三个月期限,,seed,0,1,examination-guideline:04-02-02-03,,,
前置审查,前置审查,,seed,5,1,examination-guideline:01-01-03；examination-guideline:01-02-03；examination-guideline:02-08-08；examination-guideline:04-02-03；examination-guideline:06-02-03,对复审请求的前置审查及复审后的处理,,
复审合议审查,复审合议审查,,seed,0,1,examination-guideline:04-02-04,,,
复审依职权审查,复审依职权审查,,seed,0,1,examination-guideline:04-02-04-01,,,
复审修改限制,复审修改限制,,seed,0,1,examination-guideline:04-02-04-02,,,
复审决定类型,复审决定类型,,seed,0,1,examination-guideline:04-02-05,,,
复审决定的约束力,复审决定的约束力,,seed,0,1,examination-guideline:04-02-07,,,
无效宣告请求,无效宣告请求,,seed,7,3,examination-guideline:04-01-01；examination-guideline:04-03；examination-guideline:04-03-02；examination-guideline:04-04-11；implementation-rules:rule-04-07,对专利权无效宣告请求进行受理和审查,,
无效法定理由,无效法定理由,无效宣告理由；无效宣告请求的理由,seed,4,2,examination-guideline:04-03-02；examination-guideline:04-03-03；examination-guideline:04-03-03-03；examination-guideline:04-07；implementation-rules:rule-04-05,无效宣告请求的理由（简称无效宣告理由）,,
一事不再理,一事不再理,一事不再理原则,seed,1,1,examination-guideline:04-03-02；examination-guideline:04-03-02-01,以相同或者实质相同的理由和证据再次提出无效宣告请求的，不予受理和审理,,
无效宣告理由增加,无效宣告理由增加,一个月,seed,0,1,examination-guideline:04-03-04-02,,,
无效宣告证据补充,无效宣告证据补充,,seed,0,1,examination-guideline:04-03-04-03,,,
无效宣告修改原则,无效宣告修改原则,,seed,0,1,examination-guideline:04-03-04-06,,,
无效宣告修改方式,无效宣告修改方式,删除；技术方案删除；进一步限定；明显错误修正,seed,0,1,examination-guideline:04-03-04-06,,,
无效宣告修改时机限制,无效宣告修改时机限制,,seed,0,1,examination-guideline:04-03-04-06,,,
当事人处置原则,当事人处置原则,,seed,1,1,examination-guideline:04-03-02；examination-guideline:04-03-02-02,请求人可以放弃全部或者部分无效宣告请求的范围、理由及证据,,
无效宣告决定类型,无效宣告决定类型,,seed,0,1,examination-guideline:04-03-05,,,
部分无效,部分无效,宣告专利权部分无效,seed,3,3,examination-guideline:04-03-05；trademark-exam-guide-2021:tmeg-04-01-07-03；implementation-rules:rule-04-09,被宣布无效或部分无效,,
药品专利纠纷早期解决机制,药品专利纠纷早期解决机制,,seed,1,1,examination-guideline:04-03-09,涉及药品专利纠纷早期解决机制的无效宣告请求案件,,
口头审理,口头审理,,seed,7,2,examination-guideline:04-01-02；examination-guideline:04-01-03；examination-guideline:04-02-04；examination-guideline:04-04；examination-guideline:04-04-01,其他各种案件的口头审理应当公开举行,,
口审申请理由,口审申请理由,,seed,0,1,examination-guideline:04-04-02,,,
口审通知答复期,口审通知答复期,,seed,0,1,examination-guideline:04-04-03,,,
口审四阶段,口审四阶段,,seed,0,1,examination-guideline:04-04-05,,,
证人出庭作证,证人出庭作证,,seed,2,1,examination-guideline:04-04-03；examination-guideline:04-04-10,要求委派出具过证言的证人就其证言出庭作证的,,
实用新型无效审查,实用新型无效审查,,seed,0,1,examination-guideline:04-06,,,
实用新型创造性,实用新型创造性,实用新型的创造性,seed,1,1,examination-guideline:04-06；examination-guideline:04-06-04,实用新型的创造性，是指与现有技术相比，该实用新型具有实质性特点和进步,,
同样发明创造无效宣告,同样发明创造无效宣告,,seed,0,1,examination-guideline:04-07,,,
无效宣告证据规则,无效宣告证据规则,,seed,0,1,examination-guideline:04-08,,,
公知常识证据,公知常识证据,公知常识性证据,seed,2,1,examination-guideline:04-02-03；examination-guideline:04-03-04；examination-guideline:04-08-04-03,技术词典、技术手册、教科书等所属技术领域中的公知常识性证据,,
互联网证据,互联网证据,,seed,0,1,examination-guideline:04-08-05-01,,,
使用公开,使用公开,,seed,2,1,examination-guideline:02-03-02；examination-guideline:02-03-02-01；examination-guideline:04-08-05；examination-guideline:04-08-05-02,这种公开方式称为使用公开,,
申请文件形式,申请文件形式,,seed,0,1,examination-guideline:05-01,,,
专利费用,专利费用,,seed,0,1,examination-guideline:05-02,,,
申请日更正,申请日更正,申请日的更正,seed,1,1,examination-guideline:05-03-04,可以请求专利局更正申请日,,
专利申请文档,专利申请文档,,seed,2,1,examination-guideline:05-04；examination-guideline:05-04-01；examination-guideline:05-04-04,作为原始记录保存起来以备查考的各种文件的集合,,
案卷保存期限,案卷保存期限,保存期限,seed,1,1,examination-guideline:05-04-06；examination-guideline:05-04-06-01,未授权结案的案卷保存期限为二年；授权后结案的案卷保存期限为三年,,
保密申请,保密申请,保密专利申请,seed,4,2,examination-guideline:05-05；examination-guideline:05-05-01；examination-guideline:05-05-03；implementation-rules:rule-01-07；implementation-rules:rule-03-20,应当及时作出按照保密专利申请处理的决定,,
向外国申请专利的保密审查,向外国申请专利的保密审查,,seed,0,1,examination-guideline:05-05-06,,,
通知和决定,通知和决定,,seed,0,1,examination-guideline:05-06,,,
送达方式,送达方式,,seed,0,1,examination-guideline:05-06-02-01,,,
送达日推定,送达日推定,,seed,0,1,examination-guideline:05-06-02-03,,,
期限种类,期限种类,,seed,0,1,examination-guideline:05-07-01,,,
期限延长,期限延长,,seed,1,2,examination-guideline:05-07-04；plant-variety-regulations-2025:pvpr-06-06,权利恢复与期限延长,,
权利的恢复,权利的恢复,,seed,0,1,examination-guideline:05-07-06,,,
